case:concept:name,concept:name,time:start,time:end,case:dims,case:threads
V3R6,"matmul(A,T_BCD)",2022-05-11 17:36:16.579186,2022-05-11 17:36:16.661104,"[300, 4000, 30, 320, 3000]",1
V2R3,"matmul(B,C)",2022-05-11 17:36:16.662098,2022-05-11 17:36:16.663225,"[300, 4000, 30, 320, 3000]",1
V2R3,"matmul(A,T_BC)",2022-05-11 17:36:16.663225,2022-05-11 17:36:16.671237,"[300, 4000, 30, 320, 3000]",1
V2R3,"matmul(T_ABC,D)",2022-05-11 17:36:16.671237,2022-05-11 17:36:16.677561,"[300, 4000, 30, 320, 3000]",1
V5R4,"matmul(A,B)",2022-05-11 17:36:16.678480,2022-05-11 17:36:16.679371,"[300, 4000, 30, 320, 3000]",1
V5R4,"matmul(C,D)",2022-05-11 17:36:16.679371,2022-05-11 17:36:16.680082,"[300, 4000, 30, 320, 3000]",1
V5R4,"matmul(T_AB,T_CD)",2022-05-11 17:36:16.680082,2022-05-11 17:36:16.680982,"[300, 4000, 30, 320, 3000]",1
V4R3,"matmul(C,D)",2022-05-11 17:36:16.682062,1652283376.68286,"[300, 4000, 30, 320, 3000]",1
V4R3,"matmul(B,T_CD)",2022-05-11 17:36:16.682860,2022-05-11 17:36:16.694258,"[300, 4000, 30, 320, 3000]",1
V4R3,"matmul(A,T_BCD)",2022-05-11 17:36:16.694258,2022-05-11 17:36:16.778430,"[300, 4000, 30, 320, 3000]",1
V2R1,"matmul(B,C)",2022-05-11 17:36:16.779436,2022-05-11 17:36:16.780704,"[300, 4000, 30, 320, 3000]",1
V2R1,"matmul(A,T_BC)",2022-05-11 17:36:16.780704,2022-05-11 17:36:16.789049,"[300, 4000, 30, 320, 3000]",1
V2R1,"matmul(T_ABC,D)",2022-05-11 17:36:16.789049,2022-05-11 17:36:16.796191,"[300, 4000, 30, 320, 3000]",1
V4R7,"matmul(C,D)",2022-05-11 17:36:16.797599,1652283376.798353,"[300, 4000, 30, 320, 3000]",1
V4R7,"matmul(B,T_CD)",2022-05-11 17:36:16.798353,2022-05-11 17:36:16.809251,"[300, 4000, 30, 320, 3000]",1
V4R7,"matmul(A,T_BCD)",2022-05-11 17:36:16.809251,2022-05-11 17:36:16.891685,"[300, 4000, 30, 320, 3000]",1
V3R4,"matmul(B,C)",2022-05-11 17:36:16.892745,2022-05-11 17:36:16.893894,"[300, 4000, 30, 320, 3000]",1
V3R4,"matmul(T_BC,D)",2022-05-11 17:36:16.893894,2022-05-11 17:36:16.978046,"[300, 4000, 30, 320, 3000]",1
V3R4,"matmul(A,T_BCD)",2022-05-11 17:36:16.978046,2022-05-11 17:36:17.057872,"[300, 4000, 30, 320, 3000]",1
V3R8,"matmul(B,C)",2022-05-11 17:36:17.058906,2022-05-11 17:36:17.060137,"[300, 4000, 30, 320, 3000]",1
V3R8,"matmul(T_BC,D)",2022-05-11 17:36:17.060137,2022-05-11 17:36:17.147425,"[300, 4000, 30, 320, 3000]",1
V3R8,"matmul(A,T_BCD)",2022-05-11 17:36:17.147425,2022-05-11 17:36:17.234653,"[300, 4000, 30, 320, 3000]",1
V1R2,"matmul(A,B)",2022-05-11 17:36:17.236075,2022-05-11 17:36:17.237217,"[300, 4000, 30, 320, 3000]",1
V1R2,"matmul(T_AB,C)",2022-05-11 17:36:17.237217,2022-05-11 17:36:17.237312,"[300, 4000, 30, 320, 3000]",1
V1R2,"matmul(T_ABC,D)",2022-05-11 17:36:17.237312,2022-05-11 17:36:17.244494,"[300, 4000, 30, 320, 3000]",1
V5R0,"matmul(A,B)",2022-05-11 17:36:17.245595,2022-05-11 17:36:17.247327,"[300, 4000, 30, 320, 3000]",1
V5R0,"matmul(C,D)",2022-05-11 17:36:17.247327,2022-05-11 17:36:17.248340,"[300, 4000, 30, 320, 3000]",1
V5R0,"matmul(T_AB,T_CD)",2022-05-11 17:36:17.248340,2022-05-11 17:36:17.249703,"[300, 4000, 30, 320, 3000]",1
