case:concept:name,concept:name,time:start,time:end,case:dims,case:threads
V2R7,"matmul(T_ABC,D)",1652347206.546169,1652347206.549253,"[300, 4000, 30, 320, 3000]",4
V5R25,"matmul(A,B)",1652347206.550627,1652347206.55176,"[300, 4000, 30, 320, 3000]",4
V5R25,"matmul(C,D)",1652347206.55176,1652347206.551761,"[300, 4000, 30, 320, 3000]",4
V5R25,"matmul(T_AB,T_CD)",1652347206.551761,1652347206.552162,"[300, 4000, 30, 320, 3000]",4
V1R42,"matmul(A,B)",1652347206.553111,1652347206.553617,"[300, 4000, 30, 320, 3000]",4
V1R42,"matmul(T_AB,C)",1652347206.553617,1652347206.553724,"[300, 4000, 30, 320, 3000]",4
V1R42,"matmul(T_ABC,D)",1652347206.553724,1652347206.557059,"[300, 4000, 30, 320, 3000]",4
V4R14,"matmul(C,D)",1652347206.558436,1652347206.559034,"[300, 4000, 30, 320, 3000]",4
V4R14,"matmul(B,T_CD)",1652347206.559034,1652347206.565419,"[300, 4000, 30, 320, 3000]",4
V4R14,"matmul(A,T_BCD)",1652347206.565419,1652347206.607236,"[300, 4000, 30, 320, 3000]",4
V1R27,"matmul(A,B)",1652347206.608196,1652347206.608913,"[300, 4000, 30, 320, 3000]",4
V1R27,"matmul(T_AB,C)",1652347206.608913,1652347206.609061,"[300, 4000, 30, 320, 3000]",4
V1R27,"matmul(T_ABC,D)",1652347206.609061,1652347206.612263,"[300, 4000, 30, 320, 3000]",4
V1R54,"matmul(A,B)",1652347206.613687,1652347206.614244,"[300, 4000, 30, 320, 3000]",4
V1R54,"matmul(T_AB,C)",1652347206.614244,1652347206.614395,"[300, 4000, 30, 320, 3000]",4
V1R54,"matmul(T_ABC,D)",1652347206.614395,1652347206.61763,"[300, 4000, 30, 320, 3000]",4
V1R44,"matmul(A,B)",1652347206.61888,1652347206.619502,"[300, 4000, 30, 320, 3000]",4
V1R44,"matmul(T_AB,C)",1652347206.619502,1652347206.619611,"[300, 4000, 30, 320, 3000]",4
V1R44,"matmul(T_ABC,D)",1652347206.619611,1652347206.622586,"[300, 4000, 30, 320, 3000]",4
V2R8,"matmul(B,C)",1652347206.623837,1652347206.624998,"[300, 4000, 30, 320, 3000]",4
V2R8,"matmul(A,T_BC)",1652347206.624998,1652347206.629303,"[300, 4000, 30, 320, 3000]",4
